"nid","Last.Name","First.Name","Middle.Name","Suffix","Birth.Year","Death.Year","app_1_circ","app_1_beg_yr","app_1_end_yr","app_2_circ","app_2_beg_yr","app_2_end_yr","app_3_circ","app_3_beg_yr","app_3_end_yr","app_4_circ","app_4_beg_yr","app_4_end_yr"
1381516,"Gresham","Walter","Quintin"," ","1832",1895,"","","","","","","7","1891","1893","","",""
1392281,"Griffin","Richard","Allen"," ","1952",,"6","2005","","","","","","","","","",""
1392286,"Griffith","Thomas","Beall"," ","1954",,"DC","2005","2020","","","","","","","","",""
1381546,"Groner","Duncan","Lawrence"," ","1873",1957,"","","","DC","1931","1937","DC","1937","1957","","",""
1381556,"Grosscup","Peter","Stenger"," ","1852",1921,"","","","","","","7","1899","1911","","",""
1392106,"Gruender","Raymond","W."," ","1963",,"8","2004","","","","","","","","","",""
1381591,"Gurfein","Murray","Irwin"," ","1907",1979,"","","","2","1974","1979","","","","","",""
1381596,"Guy","Ralph","B.","Jr.","1929",,"","","","6","1985","","","","","","",""
1381641,"Haight","Thomas","Griffith"," ","1879",1942,"","","","3","1919","1920","","","","","",""
1381661,"Hall","Cynthia","Holcomb"," ","1929",2011,"","","","9","1984","2011","","","","","",""
1381671,"Hall","Kenneth","Keller"," ","1918",1999,"","","","4","1976","1999","","","","","",""
1392201,"Hall","Peter","W."," ","1948",2021,"2","2004","2021","","","","","","","","",""
1381721,"Hamilton","Clyde","H."," ","1934",2020,"","","","4","1991","2020","","","","","",""
1381726,"Hamilton","David","Frank"," ","1957",,"","","","7","2009","","","","","","",""
1381731,"Hamilton","Elwood"," "," ","1883",1945,"","","","6","1938","1945","","","","","",""
1381741,"Hamley","Frederick","George"," ","1903",1975,"9","1956","1975","","","","","","","","",""
1381746,"Hamlin","Oliver","Deveta","Jr.","1892",1973,"","","","9","1958","1973","","","","","",""
1381761,"Hand","Augustus","Noble"," ","1869",1954,"","","","2","1928","1954","","","","","",""
1381766,"Hand","Learned"," "," ","1872",1961,"","","","2","1924","1961","","","","","",""
1381776,"Haney","Bert","Emory"," ","1879",1943,"9","1935","1943","","","","","","","","",""
1381806,"Hansen","David","Rasmussen"," ","1938",,"","","","8","1991","","","","","","",""
1392056,"Hardiman","Thomas","Michael"," ","1965",,"","","","3","2007","","","","","","",""
1381831,"Harlan","John","Marshall"," ","1899",1971,"2","1954","1955","","","","","","","","",""
1394626,"Harris","Pamela","Ann"," ","1962",,"4","2014","","","","","","","","","",""
1381886,"Hartigan","John","Patrick"," ","1887",1968,"","","","1","1951","1968","","","","","",""
1391356,"Hartz","Harris","L."," ","1947",,"10","2001","","","","","","","","","",""
1381911,"Hastie","William","Henry"," ","1904",1976,"3","1950","1976","","","","","","","","",""
1381921,"Hastings","John","Simpson"," ","1898",1977,"7","1957","1977","","","","","","","","",""
1381931,"Hatchett","Joseph","Woodrow"," ","1932",2021,"5","1979","1981","11","1981","1999","","","","","",""
1381956,"Hawkins","Michael","Daly"," ","1945",,"9","1994","","","","","","","","","",""
1392681,"Haynes","Catharina"," "," ","1963",,"5","2008","","","","","","","","","",""
1381976,"Haynsworth","Clement","Furman","Jr.","1912",1989,"4","1957","1989","","","","","","","","",""
1381981,"Hays","Paul","Raymond"," ","1903",1980,"2","1962","1980","","","","","","","","",""
1382006,"Healy","William"," "," ","1881",1962,"9","1937","1962","","","","","","","","",""
1382011,"Heaney","Gerald","William"," ","1918",2010,"8","1966","2006","","","","","","","","",""
1382041,"Henderson","Albert","John"," ","1920",1999,"","","","5","1979","1981","11","1981","1999","","",""
1382051,"Henderson","Karen","LeCraft"," ","1944",,"","","","DC","1990","","","","","","",""
1382066,"Henley","Jesse","Smith"," ","1917",1997,"","","","","","","","","","8","1975","1997"
1382076,"Henry","Robert","Harlan"," ","1953",,"10","1994","2010","","","","","","","","",""
10959846,"Heytens","Toby","Jay","","1975",,"4","2021","","","","","","","","","",""
1382106,"Hickenlooper","Smith"," "," ","1880",1933,"","","","6","1928","1933","","","","","",""
1382111,"Hickey","John","Joseph"," ","1911",1970,"10","1966","1970","","","","","","","","",""
1382121,"Hicks","Xenophon"," "," ","1872",1952,"","","","","","","6","1928","1952","","",""
1382131,"Higginbotham","Aloyisus","Leon","Jr.","1928",1998,"","","","3","1977","1993","","","","","",""
1382136,"Higginbotham","Patrick","Errol"," ","1938",,"","","","5","1982","","","","","","",""
1393836,"Higginson","Stephen","Andrew"," ","1961",,"5","2011","","","","","","","","","",""
1382151,"Hill","Delmas","Carl"," ","1906",1989,"","","","10","1961","1989","","","","","",""
1382161,"Hill","James","Clinkscales"," ","1924",2017,"","","","5","1976","1981","11","1981","2017","","",""
1382171,"Hill","Robert","Madden"," ","1928",1987,"","","","5","1984","1987","","","","","",""
1382191,"Hincks","Carroll","Clark"," ","1889",1964,"","","","2","1954","1964","","","","","",""
1382216,"Hitz","William"," "," ","1872",1935,"","","","DC","1931","1935","","","","","",""
4025386,"Ho","James","C.","","1973",,"5","2018","","","","","","","","","",""
1382316,"Holloway","William","Judson","Jr.","1923",2014,"10","1968","2014","","","","","","","","",""
1382336,"Holmes","Edwin","Ruthven"," ","1878",1961,"","","","","","","5","1936","1961","","",""
1392476,"Holmes","Jerome","A."," ","1961",,"10","2006","","","","","","","","","",""
1382376,"Hook","William","Cather"," ","1857",1921,"","","","","","","8","1903","1921","","",""
1382426,"Hough","Charles","Merrill"," ","1858",1927,"","","","2","1916","1927","","","","","",""
1391496,"Howard","Jeffrey","R."," ","1955",,"1","2002","","","","","","","","","",""
1382486,"Hufstedler","Shirley","Ann Mount"," ","1925",2016,"9","1968","1979","","","","","","","","",""
1382491,"Hug","Procter","Ralph","Jr.","1931",2019,"9","1977","2017","","","","","","","","",""
1394276,"Hughes","Todd","Michael"," ","1966",,"FED","2013","","","","","","","","","",""
1382526,"Hull","Frank","M."," ","1948",,"","","","11","1997","","","","","","",""
1382561,"Hunt","William","Henry"," ","1857",1949,"","","","","","","","","","9","1911","1928"
1382581,"Hunter","James"," ","III","1916",1989,"3","1971","1989","","","","","","","","",""
1394006,"Hurwitz","Andrew","David"," ","1947",,"9","2012","","","","","","","","","",""
1382611,"Hutcheson","Joseph","Chappell","Jr.","1879",1973,"","","","5","1931","1973","","","","","",""
1382616,"Hutchinson","William","D."," ","1932",1995,"3","1987","1995","","","","","","","","",""
1382626,"Huxman","Walter","August"," ","1887",1972,"10","1939","1972","","","","","","","","",""
1392441,"Ikuta","Sandra","Segal"," ","1954",,"9","2006","","","","","","","","","",""
1382661,"Ingraham","Joe","McDonald"," ","1903",1990,"","","","5","1969","1990","","","","","",""
1382711,"Jackson","Howell","Edmunds"," ","1832",1895,"","","","6","1891","1893","","","","","",""
1394151,"Jackson","Ketanji","Brown"," ","1970",,"","","","DC","2021","","","","","","",""
10300101,"Jackson-Akiwumi","Candace","Rae","","1979",,"7","2021","","","","","","","","","",""
1382741,"Jacobs","Dennis","G."," ","1944",,"2","1992","","","","","","","","","",""
1382781,"Jenkins","James","Graham"," ","1834",1921,"","","","","","","7","1893","1905","","",""
1382796,"Jertberg","Gilbert","H."," ","1897",1973,"","","","9","1958","1973","","","","","",""
1382801,"Johnsen","Harvey","M."," ","1895",1975,"8","1940","1975","","","","","","","","",""
1382826,"Johnson","Charles","Fletcher"," ","1859",1930,"1","1917","1930","","","","","","","","",""
1382831,"Johnson","Frank","Minis","Jr.","1918",1999,"","","","5","1979","1981","11","1981","1999","","",""
1382851,"Johnson","Samuel","D.","Jr.","1920",2002,"5","1979","2002","","","","","","","","",""
1382886,"Jolly","E.","Grady"," ","1937",,"5","1982","","","","","","","","","",""
1382896,"Jones","Charles","Alvin"," ","1887",1966,"3","1939","1944","","","","","","","","",""
1382901,"Jones","Edith","Hollan"," ","1949",,"5","1985","","","","","","","","","",""
1382931,"Jones","Nathaniel","Raphael"," ","1926",2020,"6","1979","2002","","","","","","","","",""
1382961,"Jones","Warren","Leroy"," ","1895",1993,"5","1955","1981","11","1981","1993","","","","","",""
1390991,"Jordan","Adalberto","Jose"," ","1961",,"","","","11","2012","","","","","","",""
1391706,"Jordan","Kent","A."," ","1957",,"","","","3","2006","","","","","","",""
1383036,"Kalodner","Harry","Ellis"," ","1896",1977,"","","","3","1946","1977","","","","","",""
1383056,"Kanne","Michael","Stephen"," ","1938",,"","","","7","1987","","","","","","",""
1390366,"Kashiwa","Shiro"," "," ","1912",1998,"","","","FED","1982","1986","","","","","",""
4022736,"Katsas","Gregory","George","","1964",,"DC","2017","","","","","","","","","",""
1390976,"Katzmann","Robert","A."," ","1953",2021,"2","1999","2021","","","","","","","","",""
1383086,"Kaufman","Irving","Robert"," ","1910",1992,"","","","2","1961","1992","","","","","",""
1392406,"Kavanaugh","Brett","M."," ","1965",,"DC","2006","2018","","","","","","","","",""
1394121,"Kayatta","William","Joseph","Jr.","1953",,"1","2013","","","","","","","","","",""
1383111,"Kearse","Amalya","Lyle"," ","1937",,"2","1979","","","","","","","","","",""
1392991,"Keenan","Barbara","Milano"," ","1950",,"4","2010","","","","","","","","","",""
1383151,"Keith","Damon","Jerome"," ","1922",2019,"","","","6","1977","2019","","","","","",""
1394186,"Kelly","Jane","Louise"," ","1964",,"8","2013","","","","","","","","","",""
1390751,"Kelly","John","David"," ","1934",1998,"8","1998","1998","","","","","","","","",""
1383186,"Kelly","Paul","Joseph","Jr.","1940",,"10","1992","","","","","","","","","",""
1383211,"Kennedy","Anthony","McLeod"," ","1936",,"9","1975","1988","","","","","","","","",""
1383216,"Kennedy","Cornelia","Groefsema"," ","1923",2014,"","","","6","1979","2014","","","","","",""
1383241,"Kent","W.","Wallace"," ","1916",1973,"","","","6","1970","1973","","","","","",""
1383251,"Kenyon","William","Squire"," ","1869",1933,"8","1922","1933","","","","","","","","",""
1383266,"Kerner","Otto"," ","Jr.","1908",1976,"7","1968","1974","","","","","","","","",""
1383261,"Kerner","Otto"," ","Sr.","1884",1952,"7","1939","1952","","","","","","","","",""
1392731,"Kethledge","Raymond","M."," ","1966",,"6","2008","","","","","","","","","",""
1383306,"Kiley","Roger","Joseph"," ","1900",1974,"7","1961","1974","","","","","","","","",""
1383311,"Kilkenny","John","Francis"," ","1901",1995,"","","","9","1969","1995","","","","","",""
1383321,"King","Alexander","Campbell"," ","1856",1926,"5","1920","1924","","","","","","","","",""
1386716,"King","Carolyn","Dineen"," ","1938",,"5","1979","","","","","","","","","",""
1390786,"King","Robert","Bruce"," ","1940",,"4","1998","","","","","","","","","",""
9353346,"Kirsch","Thomas","Lee","II","1974",,"7","2020","","","","","","","","","",""
1383376,"Kleinfeld","Andrew","Jay"," ","1945",,"","","","9","1991","","","","","","",""
1383391,"Knapp","Martin","Augustine"," ","1843",1923,"","","","2","1910","1916","4","1916","1923","","",""
1383401,"Knappen","Loyal","Edwin"," ","1854",1930,"","","","","","","6","1910","1930","","",""
1383411,"Knoch","Winfred","George"," ","1895",1983,"","","","7","1958","1983","","","","","",""
5675191,"Kobes","Jonathan","Allen","","1974",,"8","2018","","","","","","","","","",""
1383446,"Koelsch","Montgomery","Oliver"," ","1912",1992,"9","1959","1992","","","","","","","","",""
1393231,"Koh","Lucy","Haeran"," ","1968",,"","","","9","2021","","","","","","",""
1383456,"Kohlsaat","Christian","Cecil"," ","1844",1918,"","","","","","","7","1905","1918","","",""
1383496,"Kozinski","Alex"," "," ","1950",,"9","1985","2017","","","","","","","","",""
1394601,"Krause","Cheryl","Ann"," ","1968",,"3","2014","","","","","","","","","",""
1383511,"Kravitch","Phyllis","A."," ","1920",2017,"5","1979","1981","11","1981","2017","","","","","",""
1383531,"Krupansky","Robert","B."," ","1921",2004,"","","","6","1982","2004","","","","","",""
1383556,"Lacombe","Emile","Henry"," ","1846",1924,"","","","2","1891","1916","","","","","",""
7395471,"Lagoa","Barbara","","","1967",,"11","2019","","","","","","","","","",""
1383631,"Lanning","William","Mershon"," ","1849",1912,"","","","","","","3","1909","1912","","",""
1383636,"Laramore","Don","Nelson"," ","1906",1989,"","","","FED","1982","1989","","","","","",""
3984221,"Larsen","Joan","Louise","","1968",,"6","2017","","","","","","","","","",""
1383701,"Lay","Donald","Pomery"," ","1926",2007,"8","1966","2007","","","","","","","","",""
1383731,"Leavy","Edward"," "," ","1929",,"","","","9","1987","","","","","","",""
1383756,"Lee","Elmo","Pearce"," ","1882",1949,"5","1943","1949","","","","","","","","",""
10534666,"Lee","Eunice","Cheryl","","1970",,"2","2021","","","","","","","","","",""
6453086,"Lee","Kenneth","Kiyul","","1975",,"9","2019","","","","","","","","","",""
1383806,"Lemmon","Dal","Millington"," ","1887",1958,"","","","9","1954","1958","","","","","",""
1383841,"Leval","Pierre","Nelson"," ","1936",,"","","","2","1993","","","","","","",""
1383846,"Leventhal","Harold"," "," ","1915",1979,"DC","1965","1979","","","","","","","","",""
1383876,"Lewis","David","Thomas"," ","1912",1983,"10","1956","1983","","","","","","","","",""
1383886,"Lewis","Robert","E."," ","1857",1941,"","","","8","1921","1929","10","1929","1941","","",""
1383891,"Lewis","Timothy","K."," ","1954",,"","","","3","1992","1999","","","","","",""
1383926,"Lindley","Walter","C."," ","1880",1958,"","","","7","1949","1958","","","","","",""
1391101,"Linn","Richard"," "," ","1944",,"FED","1999","","","","","","","","","",""
1390656,"Lipez","Kermit","Victor"," ","1941",,"1","1998","","","","","","","","","",""
1383956,"Lively","Pierce"," "," ","1921",2016,"6","1972","2016","","","","","","","","",""
1392571,"Livingston","Debra","Ann"," ","1959",,"2","2007","","","","","","","","","",""
1383981,"Logan","James","Kenneth"," ","1929",2018,"10","1977","1998","","","","","","","","",""
1393561,"Lohier","Raymond","Joseph","Jr.","1965",,"2","2010","","","","","","","","","",""
1383986,"Loken","James","B."," ","1940",,"8","1990","","","","","","","","","",""
1384036,"Lourie","Alan","David"," ","1935",,"FED","1990","","","","","","","","","",""
1384061,"Lowell","Francis","Cabot"," ","1855",1911,"","","","","","","1","1905","1911","","",""
1384091,"Lucero","Carlos","F."," ","1940",,"10","1995","","","","","","","","","",""
7390466,"Luck","Robert","Joshua","","1979",,"11","2019","","","","","","","","","",""
1384106,"Lumbard","Joseph","Edward"," ","1901",1999,"2","1955","1999","","","","","","","","",""
1384126,"Lurton","Horace","Harmon"," ","1844",1914,"","","","6","1893","1909","","","","","",""
1384136,"Luttig","J.","Michael"," ","1954",,"4","1991","2006","","","","","","","","",""
1391166,"Lynch","Gerard","E."," ","1951",,"","","","2","2009","","","","","","",""
1384156,"Lynch","Sandra","Lea"," ","1946",,"1","1995","","","","","","","","","",""
1384186,"Mack","Julian","William"," ","1866",1943,"","","","7","1911","1929","6","1929","1930","2","1929","1943"
1384196,"MacKinnon","George","Edward"," ","1906",1995,"DC","1969","1995","","","","","","","","",""
1384221,"Magill","Frank","J."," ","1927",2013,"8","1986","2013","","","","","","","","",""
1384236,"Magruder","Calvert"," "," ","1893",1968,"1","1939","1968","","","","","","","","",""
1384246,"Mahoney","John","Christopher"," ","1882",1952,"","","","1","1940","1952","","","","","",""
1384251,"Mahoney","John","Daniel"," ","1931",1996,"2","1986","1996","","","","","","","","",""
1384256,"Major","James","Earl"," ","1887",1972,"","","","7","1937","1972","","","","","",""
1384271,"Manion","Daniel","Anthony"," ","1942",,"7","1986","","","","","","","","","",""
1384286,"Mansfield","Walter","Roe"," ","1911",1987,"","","","2","1971","1987","","","","","",""
1384291,"Mansmann","Carol","Los"," ","1942",2002,"","","","3","1985","2002","","","","","",""
1384296,"Manton","Martin","Thomas"," ","1880",1946,"","","","2","1918","1939","","","","","",""
1384306,"Marcus","Stanley"," "," ","1946",,"","","","11","1997","","","","","","",""
1384311,"Maris","Albert","Branson"," ","1893",1989,"","","","3","1938","1989","","","","","",""
1384316,"Markey","Howard","Thomas"," ","1920",2006,"","","","FED","1982","1991","","","","","",""
1384366,"Marshall","Thurgood"," "," ","1908",1993,"2","1962","1965","","","","","","","","",""
1391216,"Martin","Beverly","Baldwin"," ","1955",,"","","","11","2010","2021","","","","","",""
1384376,"Martin","Boyce","Ficklen","Jr.","1935",2016,"6","1979","2013","","","","","","","","",""
1384381,"Martin","George","Ewing"," ","1857",1948,"","","","","","","DC","1924","1948","","",""
1384396,"Martin","John","Donelson","Sr.","1883",1962,"","","","6","1940","1962","","","","","",""
6130381,"Matey","Paul","Brian","","1971",,"3","2019","","","","","","","","","",""
1393591,"Matheson","Scott","Milne","Jr.","1953",,"10","2010","","","","","","","","","",""
1384431,"Mathews","Clifton"," "," ","1880",1962,"9","1935","1962","","","","","","","","",""
1384446,"Matthes","Marion","Charles"," ","1906",1980,"8","1958","1980","","","","","","","","",""
1384471,"Mayer","Haldane","Robert"," ","1941",,"FED","1987","","","","","","","","","",""
1384476,"Mayer","Julius","Marshuetz"," ","1865",1925,"","","","2","1921","1924","","","","","",""
1384491,"McAllister","Thomas","Francis"," ","1896",1976,"6","1941","1976","","","","","","","","",""
1384526,"McCamant","Wallace"," "," ","1867",1944,"9","","1926","","","","","","","","",""
1384571,"McComas","Louis","Emory"," ","1846",1907,"","","","DC","1905","1907","","","","","",""
1391736,"McConnell","Michael","W."," ","1955",,"10","2002","2009","","","","","","","","",""
1384576,"McCord","Leon","Clarence"," ","1878",1952,"5","1938","1952","","","","","","","","",""
1384581,"McCormick","Andrew","Phelps"," ","1832",1916,"","","","","","","5","1892","1916","","",""
1384601,"McCree","Wade","Hampton","Jr.","1920",1987,"","","","6","1966","1977","","","","","",""
1384621,"McDermott","George","Thomas"," ","1886",1937,"","","","10","1929","1937","","","","","",""
1384651,"McEntee","Edward","Matthew"," ","1906",1981,"1","1965","1981","","","","","","","","",""
1384691,"McGowan","Carl","E."," ","1911",1987,"DC","1963","1987","","","","","","","","",""
1394386,"McHugh","Carolyn","Baldwin"," ","1957",,"10","2014","","","","","","","","","",""
1384721,"McKay","Monroe","G."," ","1928",2020,"10","1977","2020","","","","","","","","",""
1384726,"McKeague","David","William"," ","1946",,"","","","6","2005","","","","","","",""
1384731,"McKee","Theodore","Alexander"," ","1947",,"3","1994","","","","","","","","","",""
1384746,"McKenna","Joseph"," "," ","1843",1926,"","","","9","1892","1897","","","","","",""
1390641,"McKeown","M.","Margaret"," ","1951",,"9","1998","","","","","","","","","",""
1384796,"McLaughlin","Gerald"," "," ","1893",1977,"3","1943","1977","","","","","","","","",""
1384801,"McLaughlin","Joseph","Michael"," ","1933",2013,"","","","2","1990","2013","","","","","",""
1384851,"McMillian","Theodore"," "," ","1919",2006,"8","1978","2006","","","","","","","","",""
1384901,"McPherson","John","Bayard"," ","1846",1919,"","","","3","1912","1919","","","","","",""
1384936,"McWilliams","Robert","Hugh","Jr.","1916",2013,"10","1970","2013","","","","","","","","",""
1384961,"Medina","Harold","Raymond"," ","1888",1990,"","","","2","1951","1980","","","","","",""
1384976,"Mehaffy","Pat"," "," ","1904",1981,"8","1963","1981","","","","","","","","",""
1384996,"Melloy","Michael","Joseph"," ","1948",,"","","","8","2002","","","","","","",""
7365461,"Menashi","Steven","James","","1979",,"2","2019","","","","","","","","","",""
1385041,"Merrill","Charles","Merton"," ","1907",1996,"9","1959","1996","","","","","","","","",""
1385046,"Merritt","Gilbert","Stroud","Jr.","1936",2022,"6","1977","2022","","","","","","","","",""
1385056,"Meskill","Thomas","Joseph"," ","1928",2007,"2","1975","2007","","","","","","","","",""
1385076,"Michael","M.","Blane"," ","1943",2011,"4","1993","2011","","","","","","","","",""
1385081,"Michel","Paul","Redmond"," ","1941",,"FED","1988","2010","","","","","","","","",""
1385106,"Mikva","Abner","Joseph"," ","1926",2016,"DC","1979","1994","","","","","","","","",""
1385111,"Milburn","Herbert","Theodore"," ","1931",2016,"","","","6","1984","2016","","","","","",""
6063776,"Miller","Eric","David","","1975",,"9","2019","","","","","","","","","",""
1385136,"Miller","Jack","Richard"," ","1916",1994,"","","","FED","1982","1994","","","","","",""
1385156,"Miller","Justin"," "," ","1888",1973,"DC","1937","1945","","","","","","","","",""
1385171,"Miller","Shackelford"," ","Jr.","1892",1965,"","","","6","1945","1965","","","","","",""
1385181,"Miller","Wilbur","Kingsbury"," ","1892",1976,"DC","1945","1976","","","","","","","","",""
1385186,"Miller","William","Ernest"," ","1908",1976,"","","","6","1970","1976","","","","","",""
1394311,"Millett","Patricia","Ann"," ","1963",,"DC","2013","","","","","","","","","",""
1385201,"Miner","Roger","Jeffrey"," ","1934",2012,"","","","2","1985","2012","","","","","",""
1385206,"Minton","Sherman"," "," ","1890",1965,"7","1941","1949","","","","","","","","",""
1385301,"Moore","Karen","Nelson"," ","1948",,"6","1995","","","","","","","","","",""
1392481,"Moore","Kimberly","Ann"," ","1968",,"FED","2006","","","","","","","","","",""
1385311,"Moore","Leonard","Page"," ","1898",1982,"2","1958","1982","","","","","","","","",""
1385326,"Moorman","Charles","Harwood"," ","1876",1938,"","","","6","1925","1938","","","","","",""
1385351,"Morgan","Lewis","Render"," ","1913",2001,"","","","5","1968","1981","11","1981","2001","","",""
1394481,"Moritz","Nancy","Louise"," ","1960",,"10","2014","","","","","","","","","",""
1385391,"Morris","Martin","Ferdinand"," ","1834",1909,"DC","1893","1905","","","","","","","","",""
1385411,"Morrow","William","W."," ","1843",1929,"","","","","","","9","1897","1929","","",""
1385416,"Morton","James","Madison","Jr.","1869",1940,"","","","1","1932","1940","","","","","",""
1385441,"Motz","Diana","Jane Gribbon"," ","1943",,"4","1994","","","","","","","","","",""
1385481,"Mulligan","William","Hughes"," ","1918",1996,"2","1971","1981","","","","","","","","",""
1391261,"Murguia","Mary","Helen"," ","1960",,"","","","9","2011","","","","","","",""
1385506,"Murnaghan","Francis","Dominic","Jr.","1920",2000,"4","1979","2000","","","","","","","","",""
1385516,"Murphy","Diana","E."," ","1934",2018,"","","","8","1994","2018","","","","","",""
6105366,"Murphy","Eric","Earl","","1979",,"6","2019","","","","","","","","","",""
1385541,"Murphy","Michael","R."," ","1947",,"10","1995","","","","","","","","","",""
1385551,"Murrah","Alfred","Paul"," ","1904",1975,"","","","","","","","","","10","1940","1975"
4625006,"Nalbandian","John","Baylor","","1969",,"6","2018","","","","","","","","","",""
7330456,"Nardini","William","Joseph","","1969",,"2","2019","","","","","","","","","",""
1393801,"Nathan","Alison","Julie"," ","1972",,"","","","2","2022","","","","","","",""
1392306,"Neilson","Susan","Bieke"," ","1956",2006,"6","2005","2006","","","","","","","","",""
1385611,"Nelson","David","Aldrich"," ","1932",2010,"6","1985","2010","","","","","","","","",""
1385621,"Nelson","Dorothy","Wright"," ","1928",,"9","1979","","","","","","","","","",""
5373051,"Nelson","Ryan","Douglas","","1973",,"9","2018","","","","","","","","","",""
1385641,"Nelson","Thomas","G."," ","1936",2011,"9","1990","2011","","","","","","","","",""
1385686,"Newman","Jon","Ormond"," ","1932",,"","","","2","1979","","","","","","",""
1385691,"Newman","Pauline"," "," ","1927",,"FED","1984","","","","","","","","","",""
3267886,"Newsom","Kevin","Christopher","","1972",,"11","2017","","","","","","","","","",""
1392971,"Nguyen","Jacqueline","Hong-Ngoc"," ","1965",,"","","","9","2012","","","","","","",""
1385706,"Nichols","Philip"," ","Jr.","1907",1990,"","","","","","","FED","1982","1990","","",""
1385741,"Niemeyer","Paul","Victor"," ","1941",,"","","","4","1990","","","","","","",""
1385746,"Nies","Helen","Wilson"," ","1925",1996,"","","","FED","1982","1996","","","","","",""
1385791,"Noonan","John","T.","Jr.","1926",2017,"9","1985","2017","","","","","","","","",""
1385816,"Norris","Alan","Eugene"," ","1935",,"6","1986","","","","","","","","","",""
1385821,"Norris","William","Albert"," ","1927",2017,"9","1980","1997","","","","","","","","",""
1385826,"Northcott","Elliott"," "," ","1869",1946,"4","1927","1946","","","","","","","","",""
1385851,"Noyes","Walter","Chadwick"," ","1865",1926,"","","","2","1907","1913","","","","","",""
1385861,"Nygaard","Richard","Lowell"," ","1940",,"3","1988","","","","","","","","","",""
1391521,"O'Brien","Terrence","L."," ","1943",,"10","2002","","","","","","","","","",""
1385876,"O'Connell","John","Joseph"," ","1894",1949,"3","1945","1949","","","","","","","","",""
1385911,"O'Malley","Kathleen","McDonald"," ","1956",,"","","","FED","2010","2022","","","","","",""
1385926,"O'Scannlain","Diarmuid","Fionntain"," ","1937",,"9","1986","","","","","","","","","",""
1385931,"O'Sullivan","Clifford","Patrick"," ","1897",1975,"","","","6","1960","1975","","","","","",""
1385941,"Oakes","James","Lowell"," ","1924",2007,"","","","2","1971","2007","","","","","",""
4947641,"Oldham","Andrew","Stephen","","1978",,"5","2018","","","","","","","","","",""
